loss_fn	wavetable	mod_type	reference	ref_amount	mod_sig	amount	phase	ref_phase	is_reference	ref_shift	distance
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_7_23	0.3	7	0	False	0	0.498950719833374
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_8_23	0.3	8	0	False	0	0.5088079571723938
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_9_23	0.3	9	0	False	0	0.5167672634124756
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_10_23	0.3	10	0	False	0	0.5263305306434631
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_11_23	0.3	11	0	False	0	0.535699725151062
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_12_23	0.3	12	0	False	0	0.5337350964546204
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_13_23	0.3	13	0	False	0	0.5229408740997314
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_14_23	0.3	14	0	False	0	0.5153029561042786
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_15_23	0.3	15	0	False	0	0.5086709260940552
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_16_23	0.3	16	0	False	0	0.4997108280658722
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_17_23	0.3	17	0	False	0	0.4891011714935303
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_18_23	0.3	18	0	False	0	0.47985875606536865
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_19_23	0.3	19	0	False	0	0.4681551158428192
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_20_23	0.3	20	0	False	0	0.4543067514896393
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_21_23	0.3	21	0	False	0	0.4404204785823822
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30__phase_22_23	0.3	22	0	False	0	0.42963919043540955
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_0_23	0.5	0	0	False	0	0.5196155905723572
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_1_23	0.5	1	0	False	0	0.5273863077163696
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_2_23	0.5	2	0	False	0	0.5355650186538696
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_3_23	0.5	3	0	False	0	0.5458747148513794
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_4_23	0.5	4	0	False	0	0.5537945628166199
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_5_23	0.5	5	0	False	0	0.5586134195327759
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_6_23	0.5	6	0	False	0	0.5677652955055237
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50__phase_7_23	0.5	7	0	False	0	0.5786353945732117
