loss_fn	wavetable	mod_type	reference	ref_amount	mod_sig	amount	is_reference	ref_shift	distance
mse	richness_real__filter__acid_saw__46_1024__inverted	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.000	0.0	True	0	0.0
mse	richness_real__filter__acid_saw__46_1024__inverted	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.125	0.125	False	0	0.01340510044246912
mse	richness_real__filter__acid_saw__46_1024__inverted	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.250	0.25	False	0	0.02025126852095127
mse	richness_real__filter__acid_saw__46_1024__inverted	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.375	0.375	False	0	0.023437511175870895
mse	richness_real__filter__acid_saw__46_1024__inverted	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.500	0.5	False	0	0.02472064085304737
mse	richness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.10	0.1	True	0	0.0
mse	richness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30	0.3	False	0	0.000205886535695754
mse	richness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50	0.5	False	0	0.0008412530878558755
mse	richness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70	0.7	False	0	0.0019282621797174215
mse	richness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90	0.9	False	0	0.003396301530301571
mse	richness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz	0.25	True	0	0.0
mse	richness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz	0.5	False	0	0.00715878838673234
mse	richness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_1.00hz	1.0	False	0	0.007832835428416729
mse	richness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_2.00hz	2.0	False	0	0.007678759749978781
mse	richness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_4.00hz	4.0	False	0	0.007655720692127943
mse	richness_synthetic__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.000	0.0	True	0	0.0
mse	richness_synthetic__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.125	0.125	False	0	0.0018588053062558174
mse	richness_synthetic__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.250	0.25	False	0	0.005599807482212782
mse	richness_synthetic__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.375	0.375	False	0	0.0087956003844738
mse	richness_synthetic__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.500	0.5	False	0	0.010211550630629063
mse	warmth_real__vintage__logue_saw__166_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.10	0.1	True	0	0.0
mse	warmth_real__vintage__logue_saw__166_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30	0.3	False	0	0.003975971601903439
mse	warmth_real__vintage__logue_saw__166_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50	0.5	False	0	0.008712947368621826
mse	warmth_real__vintage__logue_saw__166_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70	0.7	False	0	0.013616110198199749
mse	warmth_real__vintage__logue_saw__166_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90	0.9	False	0	0.017725970596075058
mse	warmth_real__vintage__logue_saw__166_1024	freq	freq_0.25hz	0.25	freq_0.25hz	0.25	True	0	0.0
mse	warmth_real__vintage__logue_saw__166_1024	freq	freq_0.25hz	0.25	freq_0.50hz	0.5	False	0	0.027359724044799805
mse	warmth_real__vintage__logue_saw__166_1024	freq	freq_0.25hz	0.25	freq_1.00hz	1.0	False	0	0.023993337526917458
mse	warmth_real__vintage__logue_saw__166_1024	freq	freq_0.25hz	0.25	freq_2.00hz	2.0	False	0	0.024502364918589592
mse	warmth_real__vintage__logue_saw__166_1024	freq	freq_0.25hz	0.25	freq_4.00hz	4.0	False	0	0.024591289460659027
