loss_fn	Source	SS	DF	MS	F	p_unc	p_bonf	p_fdr	np2	eta_sq	pct_var
human	modulation	9327.990338580667	2	4663.995169290333	606.396792693714	1.2122980485335894e-30	1.2122980485335894e-29	6.061490242667947e-30	0.9680713563139534	0.23162165408940175	23.162165408940176
human	feature	1411.6700562457204	2	705.8350281228602	91.77027027017829	1.1325930476181514e-15	1.1325930476181514e-14	3.7753101587271715e-15	0.8210615403214584	0.035052925827307874	3.5052925827307875
human	source	72.37819170601736	1	72.37819170601736	9.410366374409843	0.003860870502177434	0.03860870502177434	0.005515529288824906	0.19045328065576886	0.0017972098892094692	0.17972098892094693
human	rating_stimulus	28240.07777725286	3	9413.359259084287	1223.8929621470734	2.2831346075472544e-39	2.2831346075472543e-38	2.2831346075472543e-38	0.9892232056641214	0.7012243033021767	70.12243033021767
human	modulation:feature	156.45363664563524	4	39.11340916140881	5.085392459873445	0.0020783985712041486	0.020783985712041486	0.003463997618673581	0.3371070705253702	0.003884872174264945	0.3884872174264945
human	modulation:source	21.17055853587737	2	10.585279267938684	1.3762620167597581	0.26421935652416517	1.0	0.293577062804628	0.06438272583301605	0.0005256823397206196	0.05256823397206196
human	modulation:rating_stimulus	357.0266412879095	6	59.50444021465159	7.736564980767327	1.4733534510406696e-05	0.00014733534510406697	2.946706902081339e-05	0.5371409118554054	0.008865264457560734	0.8865264457560733
human	feature:source	278.45187300452466	2	139.22593650226233	18.10168284706794	2.5218355307857095e-06	2.5218355307857095e-05	6.304588826964274e-06	0.4750888017131487	0.006914188487400767	0.6914188487400768
human	feature:rating_stimulus	78.70148899026361	6	13.116914831710602	1.705416664313611	0.14487860458594573	1.0	0.18109825573243216	0.20370278183959808	0.0019542225492910825	0.19542225492910825
human	source:rating_stimulus	20.957819961898103	3	6.985939987299368	0.9082881625054692	0.44560780595069027	1.0	0.44560780595069027	0.06377701884373616	0.0005203998663683588	0.052039986636835886
human	Residual (pooled)	307.653023596784	40	7.6913255899196						0.007639277017297548	0.7639277017297548
jtfs_log1p	modulation	0.5063089196198196	2	0.2531544598099098	291.8689589936991	1.3840663209029326e-24	1.3840663209029327e-23	1.3840663209029324e-23	0.935870501301144	0.31200961887990547	31.200961887990548
