wavetable_name,loud_range,loud_entropy,loud_spectral_entropy,loud_max,loud_min,loud_total_variation,loud_turning_points,cent_range,cent_entropy,cent_spectral_entropy,cent_max,cent_min,cent_total_variation,cent_turning_points,flat_range,flat_entropy,flat_spectral_entropy,flat_max,flat_min,flat_total_variation,flat_turning_points
complex__menace__118_1024.pt,11.571958541870117,4.204808247746238,1.8386626,-7.633823394775391,-19.205781936645508,36.74580383300781,14,3.8259878158569336,3.9616248604066375,1.2257144,11.970251083374023,8.14426326751709,14.286554336547852,12,48.98588562011719,4.289198705092553,1.561648,-96.59602355957031,-145.5819091796875,206.54110717773438,31
harmonics__squarrely__174_1024.pt,2.7362475395202637,4.509593538462311,1.9530544,-7.164555072784424,-9.900802612304688,2.7419066429138184,2,0.6734075546264648,4.306273457819928,0.51278806,10.561149597167969,9.887742042541504,1.0889625549316406,53,17.900482177734375,4.672028825010942,0.9295681,-134.26123046875,-152.16171264648438,64.88633728027344,103
instrument__beauty_vox__130_1024.pt,19.651878356933594,4.432338717038407,3.3483028,-6.565947532653809,-26.217824935913086,74.8681869506836,29,2.347163200378418,4.453665578972099,1.2502834,11.92601203918457,9.578848838806152,15.618099212646484,87,36.728302001953125,4.686706136942385,1.4939446,-86.80327606201172,-123.53157806396484,218.27975463867188,56
formant__ahohooh__3_1024.pt,4.504929542541504,1.5849625008930293,0.59551346,-5.892098426818848,-10.397027969360352,4.504929542541504,0,1.7851543426513672,1.584962500792153,0.3438833,8.990583419799805,7.2054290771484375,1.7851543426513672,0,31.252716064453125,1.5849625018079996,0.3381013,-127.54000854492188,-158.792724609375,31.252716064453125,0
retro__sweep_pulse__184_1024.pt,1.9672574996948242,4.856761017375364,1.3693523,-8.362129211425781,-10.329386711120605,6.796504020690918,60,0.8824653625488281,4.4636879294611145,0.5957591,12.463913917541504,11.581448554992676,7.912693977355957,115,56.967472076416016,4.691823859801215,2.8651097,-59.43748092651367,-116.40495300292969,122.29769897460938,105
collection__graphite__7_1024.pt,2.8128466606140137,2.807354922133453,0.60473377,-5.632166385650635,-8.445013046264648,8.169563293457031,3,0.6627101898193359,2.521646274793573,0.20966934,13.306198120117188,12.643487930297852,2.3178415298461914,3,31.924713134765625,2.8073549230164065,1.3104926,-15.015019416809082,-46.93973159790039,94.17164611816406,3
vintage__logue_saw_dist__205_1024.pt,1.8019347190856934,4.042095082823538,1.4581358,-5.2943902015686035,-7.096324920654297,3.279730796813965,69,1.464198112487793,4.4518023770023145,1.0150617,11.961727142333984,10.497529029846191,6.734378814697266,162,25.611106872558594,4.026754605571281,1.4506259,-68.83804321289062,-94.44915008544922,423.4889831542969,174
noise__radio_1__256_1024.pt,8.916013717651367,4.083803003657466,4.3128653,-7.040745258331299,-15.956758499145508,317.5537414550781,160,0.9082736968994141,4.302305861785056,0.81845295,12.55873966217041,11.650465965270996,22.934326171875,150,47.861812591552734,4.16740268652069,3.8132334,-35.59139633178711,-83.45320892333984,1076.938720703125,149
instrument__sitar__130_1024.pt,18.43450927734375,4.239102255408799,2.670839,-8.330995559692383,-26.765504837036133,36.90802764892578,23,1.5095500946044922,4.597012634033261,0.7248319,10.197751998901367,8.688201904296875,6.628654479980469,67,27.782325744628906,4.1447033346652,1.0519422,-100.60774993896484,-128.39007568359375,131.97506713867188,63
retro__wind_synth__131_1024.pt,3.2687273025512695,4.636327051084905,1.113758,-9.456775665283203,-12.725502967834473,10.385627746582031,51,0.7792654037475586,4.295501843825539,0.43139732,11.74582290649414,10.966557502746582,2.5781965255737305,59,15.217277526855469,4.233940037286862,0.75842696,-87.5941390991211,-102.81141662597656,93.44869232177734,71
filter__sweep_4__78_1024.pt,12.991744995117188,4.872827805920908,2.8307667,-7.129696369171143,-20.121440887451172,14.28230094909668,5,4.2137956619262695,4.723986653696514,1.822589,11.898646354675293,7.684850692749023,6.6310930252075195,23,30.02617645263672,4.69962575375033,1.133213,-122.5593490600586,-152.5855255126953,57.944923400878906,46
collection__slate__7_1024.pt,3.2126588821411133,2.2359273200388388,0.74570787,-6.614293098449707,-9.82695198059082,5.699295997619629,2,1.9739389419555664,2.8073549221231717,0.36466238,13.098076820373535,11.124137878417969,3.0106000900268555,1,42.299049377441406,2.807354923316528,1.004891,-34.465423583984375,-76.76447296142578,81.96401977539062,1
