wavetable_name,loud_mean,loud_std,loud_range,loud_entropy,loud_spectral_entropy,loud_max,loud_min,loud_total_variation,loud_turning_points,cent_mean,cent_std,cent_range,cent_entropy,cent_spectral_entropy,cent_max,cent_min,cent_total_variation,cent_turning_points,flat_mean,flat_std,flat_range,flat_entropy,flat_spectral_entropy,flat_max,flat_min,flat_total_variation,flat_turning_points,warmth_mean,warmth_std,warmth_range,warmth_entropy,warmth_spectral_entropy,warmth_max,warmth_min,warmth_total_variation,warmth_turning_points,richness_mean,richness_std,richness_range,richness_entropy,richness_spectral_entropy,richness_max,richness_min,richness_total_variation,richness_turning_points
filter__bit_sweep__16_1024.pt,-8.57038688659668,1.4173545837402344,4.105422496795654,0.873504102230072,0.7255445718765259,-6.217714786529541,-10.323137283325195,0.3994377553462982,0.4285714328289032,12.672249794006348,0.16073065996170044,0.4990682601928711,0.9204245805740356,0.5865976810455322,12.91580581665039,12.41673755645752,0.06884117424488068,0.5,-51.708099365234375,5.895238876342773,22.284252166748047,0.9515931606292725,0.7033072710037231,-41.845035552978516,-64.12928771972656,4.326433181762695,0.5714285969734192,0.49285730719566345,0.08699684590101242,0.30178648233413696,0.9590626955032349,0.6051664352416992,0.5757573843002319,0.27397090196609497,0.03327605500817299,0.5,96.875,33.34241485595703,125.0,0.9186897277832031,0.8230737447738647,172.0,47.0,24.66666603088379,0.6428571343421936
vintage__jun_square_stack__230_1024.pt,-11.704676628112793,1.0277433395385742,4.191266059875488,0.9689007997512817,0.563258171081543,-9.385248184204102,-13.57651424407959,0.07740522921085358,0.10964912176132202,11.38337516784668,0.08126047998666763,0.4075641632080078,0.9797362089157104,0.7200824022293091,11.606721878051758,11.19915771484375,0.033721718937158585,0.5964912176132202,-79.41878509521484,2.4030468463897705,9.881034851074219,0.9717311859130859,0.6782722473144531,-74.0785903930664,-83.95962524414062,0.6699738502502441,0.5657894611358643,0.32286858558654785,0.033119384199380875,0.1563495397567749,0.9710195660591125,0.5231566429138184,0.42115116119384766,0.26480162143707275,0.0034590698778629303,0.2368421107530594,54.78260803222656,3.8470373153686523,21.0,0.984411895275116,0.7424302697181702,66.0,45.0,1.9257642030715942,0.390350878238678
instrument__jazz_buzz__40_1024.pt,-15.998886108398438,3.2037529945373535,10.065906524658203,0.9340766668319702,0.7066870927810669,-10.825138092041016,-20.89104461669922,0.2581001818180084,0.0,11.100027084350586,0.20086660981178284,0.8499670028686523,0.946847140789032,0.6338561773300171,11.618209838867188,10.768242835998535,0.06798279285430908,0.34210526943206787,-96.3134765625,5.5587382316589355,23.097625732421875,0.9157365560531616,0.79486483335495,-80.02085876464844,-103.11848449707031,0.9553461074829102,0.44736841320991516,0.2977715730667114,0.07164206355810165,0.27894777059555054,0.9300149083137512,0.7670002579689026,0.47441616654396057,0.19546838104724884,0.007333940360695124,0.05263157933950424,12.350000381469727,8.232362747192383,37.0,0.8433481454849243,0.8820162415504456,43.0,6.0,1.2051281929016113,0.1315789520740509
noise__modulated_kodiak__64_1024.pt,-5.742158889770508,0.7417490482330322,3.4247541427612305,0.9760082960128784,0.7310439944267273,-4.090227127075195,-7.514981269836426,0.6987262964248657,0.6290322542190552,11.885879516601562,0.41318070888519287,2.4163551330566406,0.9921286702156067,0.6217072606086731,12.453776359558105,10.037421226501465,0.3625980317592621,0.6774193644523621,-77.41416931152344,12.061305046081543,42.53473663330078,0.9569517374038696,0.7559834718704224,-56.16795349121094,-98.70269012451172,8.4598388671875,0.6451612710952759,0.48596757650375366,0.045284099876880646,0.2185772955417633,0.9743621945381165,0.7718511819839478,0.5991621613502502,0.38058486580848694,0.05316353961825371,0.7096773982048035,116.8125,40.9152717590332,151.0,0.9431460499763489,0.7953832745552063,205.0,54.0,28.603174209594727,0.7096773982048035
noise__vinyl_dirt_soft__125_1024.pt,-31.563581466674805,3.8207218647003174,16.507720947265625,0.9683599472045898,0.8420210480690002,-22.00605010986328,-38.513771057128906,3.6737968921661377,0.6178861856460571,12.548379898071289,0.23266726732254028,1.1322832107543945,0.9805788397789001,0.8062317371368408,13.114623069763184,11.982339859008789,0.2372712343931198,0.6260162591934204,-34.790218353271484,8.015496253967285,38.342613220214844,0.9753692150115967,0.8157370090484619,-13.627092361450195,-51.969703674316406,8.702062606811523,0.6747967600822449,0.4495301842689514,0.02373608946800232,0.12152504920959473,0.9885056018829346,0.7351073026657104,0.49479418992996216,0.37326914072036743,0.023914262652397156,0.6341463327407837,234.3679962158203,61.036415100097656,287.0,0.976597785949707,0.8144017457962036,388.0,101.0,63.70161437988281,0.6829268336296082
basics__sub_1__129_1024.pt,-9.598965644836426,0.36480486392974854,1.1409568786621094,0.9363471269607544,0.352835088968277,-8.945722579956055,-10.086679458618164,0.017641521990299225,0.015748031437397003,8.975284576416016,1.695453405380249,5.243147850036621,0.9579544067382812,0.642004668712616,11.211499214172363,5.968351364135742,0.042316533625125885,0.06299212574958801,-150.20945739746094,13.203553199768066,45.396270751953125,0.8256442546844482,0.7787818312644958,-114.48710632324219,-159.8833770751953,0.3660852909088135,0.28346458077430725,0.6735777258872986,0.12258245050907135,0.40465646982192993,0.841014564037323,0.7714253067970276,0.9890177845954895,0.5843613147735596,0.0031613786704838276,0.0,22.612403869628906,14.049749374389648,44.0,0.9490569829940796,0.669894814491272,45.0,1.0,0.34375,0.0
noise__radio_2__251_1024.pt,-10.456131935119629,1.302303433418274,7.597801208496094,0.9920938014984131,0.7710527777671814,-7.461448669433594,-15.059249877929688,1.269906759262085,0.6265060305595398,11.725467681884766,0.2872678339481354,1.1487951278686523,0.9837446212768555,0.6621944308280945,12.141157150268555,10.992362022399902,0.10449628531932831,0.586345374584198,-86.28992462158203,10.121476173400879,35.55397033691406,0.9780322313308716,0.7065415978431702,-73.21290588378906,-108.76687622070312,4.002704620361328,0.586345374584198,0.5070614814758301,0.03148588538169861,0.19770216941833496,0.9918395280838013,0.7721410393714905,0.5960471630096436,0.3983449935913086,0.03243205323815346,0.6305220723152161,138.13943481445312,36.376922607421875,134.0,0.9699264168739319,0.7452733516693115,205.0,71.0,15.303999900817871,0.6144578456878662
harmonics__sines_5__10_1024.pt,-9.349239349365234,0.6776346564292908,1.8447551727294922,0.8234063386917114,0.806344747543335,-8.224254608154297,-10.069009780883789,0.8314613699913025,0.625,7.627553462982178,1.1197630167007446,3.2411813735961914,0.8916283845901489,0.752776026725769,9.187251091003418,5.946069717407227,0.7283720374107361,0.375,-159.67800903320312,0.1316959112882614,0.3894805908203125,0.8722099661827087,0.7893965244293213,-159.47201538085938,-159.8614959716797,0.1031256765127182,0.5,0.7836037874221802,0.23604005575180054,0.6106753945350647,0.9086366891860962,0.6141354441642761,0.9974164962768555,0.38674110174179077,0.13473738729953766,0.125,2.4000000953674316,0.6992058753967285,2.0,0.931106686592102,0.761866569519043,3.0,1.0,0.8888888955116272,0.75
basics__beating_3__110_1024.pt,-11.235488891601562,0.4774349331855774,2.8520450592041016,0.9935868978500366,0.5390658974647522,-10.632795333862305,-13.484840393066406,0.07799779623746872,0.5648148059844971,12.630650520324707,0.06570751965045929,0.5757780075073242,0.9972947835922241,0.5116828083992004,12.678271293640137,12.102493286132812,0.026342375203967094,0.6666666865348816,-73.76162719726562,2.1857264041900635,11.032081604003906,0.986352264881134,0.6138426065444946,-69.5145034790039,-80.54658508300781,0.9112231731414795,0.6481481194496155,0.40168297290802,0.01489689014852047,0.13547396659851074,0.9963698983192444,0.4720008969306946,0.44221067428588867,0.30673670768737793,0.003537204349413514,0.5462962985038757,276.97271728515625,26.215219497680664,96.0,0.9825758934020996,0.5540801286697388,299.0,203.0,5.229357719421387,0.5462962985038757
collection__rust__256_1024.pt,-10.282329559326172,1.6141537427902222,6.726543426513672,0.9752908945083618,0.5374535918235779,-7.004180908203125,-13.730724334716797,0.10580608248710632,0.027559055015444756,12.02106761932373,1.256293535232544,5.052726745605469,0.9868621826171875,0.428893119096756,13.272454261779785,8.219727516174316,0.04754252731800079,0.015748031437397003,-67.70977783203125,29.123470306396484,120.71101379394531,0.9832150936126709,0.5092032551765442,-24.126628875732422,-144.837646484375,1.0791072845458984,0.007874015718698502,0.5469344854354858,0.12136093527078629,0.47955793142318726,0.9586454033851624,0.4113621115684509,0.8419234156608582,0.3623654842376709,0.0042006936855614185,0.019685039296746254,76.234375,66.10905456542969,362.0,0.9090084433555603,0.7781010866165161,374.0,12.0,2.552941083908081,0.05511811003088951
